symbol,target_side,raw_target_signed_weight,raw_target_notional,reference_price,current_signed_qty,current_signed_notional,raw_target_abs_qty,target_lattice_abs_qty,target_lattice_signed_qty,short_position_residual_qty,expected_final_signed_qty,executable_expected_signed_weight,projection_weight_gap,projection_notional_gap,estimated_entry_qty,estimated_entry_buying_power,buying_power_price,integer_target_required,constraint_reasons
GKOS,long,0.0333333333333333,2965.98933333333,155.405,19.0456,2959.781468,19.08554636809195,19.0456,19.0456,0.0,19.0456,0.033263566108576705,-6.976722475659235e-05,-6.207865333329664,0.0,0.0,155.591486,False,['carried_by_min_trade_notional']
GLW,short,-0.0243928980154852,-2170.472259690508,158.34,-13.8579,-2193.220544,13.7076686856796,14.0,-14.0,-0.14209999999999923,-13.8579,-0.024648555085835328,-0.00025565707035012645,-22.748284309491737,0.0,0.0,163.0902,True,"['short_target_integer', 'carried_by_min_trade_notional']"
GOOG,short,-0.0243663988624509,-2168.114373533245,348.8,-5.0,-1744.85,6.2159242360471465,6.0,-6.0,0.0,-6.0,-0.02351997669580291,0.0008464221666479879,75.31437353324463,1.0,359.264,359.264,True,['short_target_integer']
GS,short,-1.558291658451323e-05,-1.3865629311566798,1067.08,-0.0013,-1.388283,0.0012993992307574688,0.0,-0.0,0.0013,-0.0013,-1.560224761428677e-05,-1.9331029773540427e-08,-0.0017200688433200995,0.0,0.0,1099.0924,True,"['short_target_integer', 'carried_by_min_trade_notional']"
HLI,long,0.0056095869034461,499.13924760082483,139.68,3.6204,504.195006,3.5734482216553896,3.6204,3.6204,0.0,3.6204,0.005666406150258127,5.6819246812026606e-05,5.055758399175147,0.0,0.0,139.84761600000002,False,['carried_by_min_trade_notional']
HOOD,short,-0.0283969710126558,-2526.753393675389,105.535,-24.9861,-2639.281743,23.94232618254976,24.0,-24.0,-0.01389999999999958,-23.9861,-0.028448889268875774,-5.191825621997365e-05,-4.619669824611265,0.0,0.0,108.70105,True,['short_target_integer']
IBM,flat,0.0,0.0,211.35,-0.0173,-3.657566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,['raw_target_zero_release']
IDXX,short,-0.0063695818938377,-566.7633586474725,557.93,-1.001,-558.34789,1.0158323779819558,1.0,-1.0,0.0009999999999998899,-1.001,-0.006275004472931348,9.457742090635182e-05,8.415468647472494,0.0,0.0,574.6678999999999,True,"['short_target_integer', 'carried_by_min_trade_notional']"
INOD,long,0.0302329432817938,2690.117618672162,64.13,42.527,2720.116227,41.94788115815004,41.9478,41.9478,0.0,41.9478,0.03023288478897654,-5.849281726016751e-08,-0.0052046721621081815,0.0,0.0,64.206956,False,[]
IONS,long,0.0295785330614585,2631.8884066779974,52.97,49.4956,2618.812196,49.68639619932032,49.6863,49.6863,0.0,49.6863,0.029578475793574446,-5.7267884053531393e-08,-0.005095677997360326,0.19069999999999965,10.113500654799982,53.033564000000005,False,[]
